,Timestamp,Description,Interst/Alarm,Confusion/Understanding,Frusteration/Relief,Sorrow/Joy,Anger/Gratitude,Fear/Hope,Boredom/Surprise,Disgust/Desire
1,1617916426.4783866,confused and asking for clarification almost,3,2,4,3,2,4,1,1
2,1619712628.7415078,"His eyes half closed, his head tilted up, his arms reached forward. He looked like he wanted to be picked up.",2,4,3,3,4,4,3,5
3,1619712728.844478,"eyes were half open, head tilted up and down slightly. Looked tired.",3,3,2,3,3,3,1,3
4,1619712845.8391554,"eyes were looking concerned to the left, then kinda drunk? like the loopy emoji, one arm moved a bit.",3,2,3,3,3,3,4,3
5,1619712970.3190892,"one arm moved about halfway up twice head tilted down a couple times, eyes half closed. Seemed disappointed/tired",3,3,2,2,3,3,2,3
6,1619713078.9823556,"Head tilted up a few times, both arms went up high then back down and then one arm went up then back down. Seemed surprised or excited",1,3,3,5,3,4,5,3
7,1619713187.696467,"Head tilting up a few times, both arms up a tiny bit, and then one arm up halfway. Looked like he was accusing me of something, 10/10 would fight",3,3,3,3,2,3,3,4
8,1619713371.3021836,"Both arms up a little bit, kinda like a shrug, eyes half closed, looked up and to the right (from my perspective), lifted one arm up high and then let it drop. The head tilt up is what made me see a little bit of desire ",3,3,3,3,3,3,1,4
9,1619713561.6655798,"eyes half closed, head tilting slightly down a couple times",3,3,3,3,3,3,1,3
10,1619713640.524142,eyes half shut and then eyes went wide and arms went up ,5,3,3,3,3,1,5,3
11,1619713725.02319,"Look to the left (from my perspective) and then slowly back to center, eyes blinked a few times",2,2,3,3,3,3,2,4
12,1619713844.9509923,"eyes half closed, head a little droopy, and then eyes went wide and looked to the left while head tilted away from the direction it was looking",2,2,3,3,3,3,5,3
13,1620327916.965917,The robot had stars in its eyes like it saw something it liked. It then looked like it went to grab/hug it by moving its arms and looked tired. It must have been rejected or not gotten what it wanted because it then looked angry,3,3,1,4,1,3,4,5
14,1620328046.428543,The robot raised one arm and then lowered it. It blinked a couple times and remained pretty neutral. It almost looked like it was agreeing with someone in a conversation,2,4,3,3,3,3,2,3
15,1620328165.9979303,The robot moved its head to te side and then started wvaving its arms and rolling its eyes around. Then it showed some puppy dog eyes. It was almost like it was trying to be silly to gain affection,3,2,3,4,3,4,3,5
16,1620328315.7865946,The robot nodded its head in agreement,2,5,3,3,3,3,3,3
