"Timestamp, Description",Interst/Alarm,Confusion/Understanding,Frusteration/Relief,Sorrow/Joy,Anger/Gratitude,Fear/Hope,Boredom/Surprise,Disgust/Desire
1617916551.1008368,It went to investigate a thing it saw,1,1,3,3,3,4,4,5
1619714005.860615,drove forward for a bit and then turned to his right for a bit,2,3,3,3,3,3,3,3
1619714075.446155,"just drove forward, made a little sound at the end?",2,3,3,3,3,3,3,3
1619714179.4086607,drove forward fairly quickly and then turned to his right and looked up. ,1,3,3,3,4,4,3,4
1619714262.2873745,looked down squinted eyes and then looked forward again. I would say looked suspicious of something,2,2,3,3,3,3,3,3
1619714376.563459,"lifted front part up, moved forward and turned, made a sound that sounded kind of like 'boo' twice.",4,3,3,3,2,3,4,3
1619714528.7705612,"looked up, lifted front bit, made a couple noises",2,3,3,3,3,4,3,5
1619714617.0204914,"drove forward a bit and then looked down. Replay robot behavior did nothing, I am a little confused",3,3,3,3,3,3,3,3
1619714617.0204914,"drove forward a bit and then looked down. Replay robot behavior did nothing, I am a little confused",3,3,3,3,3,3,3,3
1619714743.402876,"drove forward, turned to his right, looked up, made a sound",1,2,3,3,3,3,3,4
1619714822.1665943,"drove forward, look up, then down, then neutral",1,2,3,3,3,3,3,3
1619714886.7846465,moved forward lifted arms then looked down,2,3,3,1,3,2,3,3
1619714962.1140523,"lifted arms and looked down, turned slightly right, looked back up again.",1,2,3,3,3,3,3,3
1619715039.5221138,"turned away and lifted arm thing in front of face, looked embarassed",3,3,3,2,3,2,3,3
1619715121.25564,moved forward and turned,3,3,3,3,3,3,3,3
1619715184.978975,"moved forward, lifted arms, looked up, made sound",4,3,2,3,3,3,3,3
1619715256.866802,"looked down, made sound, lifted arms slightly",3,3,3,3,3,3,4,2
1619715320.784347,lifted arms a bit,2,3,3,2,3,3,3,3
1619715413.37127,"arms moved down, eyes went very squinty, made sound, looked up, moved forward more. Looked suspicious of me",1,3,3,3,1,3,3,3
1620329437.6045663,Cosmo raised his arms and then turned away from me. He looked sort of bored/uninterested in me,3,3,3,3,3,3,2,3
1620329539.6879778,Cosmo sort of moved his head down and kept looking around. Didn't do much. Kind of appeared that he was examining something for a minute,2,3,3,3,3,3,3,3
1620329641.408831,Cosmo moved his head up and his eyes got big as if something surprised/shocked him. He then sort of squinted as if he was examining further to determine what was going on/what he was seeing.,1,2,3,3,3,3,5,3
1620329736.1284716,Cosmo raised his head up and started moving in a circle. It kind seemed like he was stoked about some news he just got or something.,3,3,3,4,3,3,3,3
1620329736.1284716,Cosmo raised his head up and started moving in a circle. It kind seemed like he was stoked about some news he just got or something.,3,3,3,4,3,3,3,3
1620329831.7630644,"Cosmo raised his arms and starting moving forward and said what sounded like ""yeah!"" He definitely seemed to be cheering",3,3,4,5,4,4,3,3
1620329903.5346937,Cosmo looked down as if he was examining something. Then his eyes got big as if whatever he saw surprised him.,2,2,3,3,3,3,4,3
1620329983.1065888,Cosmo didn't appear to do anything,3,3,3,3,3,3,3,3
1620330046.6468463,"Robot appears to have encounterd an error, it is not functioning",3,3,3,3,3,3,3,3
1620330546.906945,Cosmo turned to the right and seemed to make sound as if he was asking a question/puzzled.,2,2,3,3,3,3,3,3
1620330614.639489,Cosmo raised his arms up and looked at something. He then moved toward it and lowered his arms.,2,3,3,3,2,3,3,3
1620330688.566884,Cosmo moved toward something and acted like he picked it up so he could get a closer look at it. In general he seems as if he is always quite inquisitive with his eye expressions.,2,3,3,3,3,3,3,3
1620330778.160888,Cosmo just kind of moved his head a little. Not much else.,3,3,3,3,3,3,3,3
1620330845.463611,Cosmo moved his head down and let out a little quack noise.,3,3,3,3,3,3,3,3
